LANGUAGE, ENGLISH, GERMAN

STR_DGX_AUTHOR,"Fepaje (edited by dgx)","Fepaje (bearbeitet von dgx)"
STR_DGX_INFO1,"OBJECTIVE: CAPTURE AND HOLD KAVALA WITH YOUR TEAM","ZIEL: EROBER UND HALTE KAVALA MIT DEINEM TEAM"
STR_DGX_INFO2,"YOU CAPTURE THE ZONE IF YOU ARE INSIDE IT","DU EROBERST DIE ZONE, INDEM DU IN IHR STEHST"
STR_DGX_INFO3,"YOU GET XP FOR KILLS AND FOR STAYING NEAR THE OBJECTIVE","DU BEKOMMST XP BEI KILLS UND WENN DU IN DER NAEHE DES ZIELS STEHST"
STR_DGX_INFO4,"YOUR TEAM WILL CAPTURE THE ZONE FASTER WHEN YOU ARE INSIDE THE INNER (BLACK) AREA","DEIN TEAM EROBERT DIE ZONE SCHNELLER, WENN MAN IM INNEREN DER SCHWARZEN MARKIERUNG STEHT"
STR_DGX_INFO5,"THE TEAM WITH THE HIGHEST TICKET COUNT WINS","DAS TEAM MIT DEN MEISTEN TICKETS GEWINNT"
STR_DGX_INFO6,"RULES: NO INSULTS - NO GRIEFING (KAMIKAZE) - NO VOICE ON GLOBAL","REGELN: KEINE BELEIDIGUNGEN - KEIN GRIEFING (KAMIKAZE) - KEIN GELABER IM GLOBAL CHAT"
STR_DGX_INFO7,"PLAY THE OBJECTIVE: NO BASERAPING - NO TEAMKILLING (BAN)","ACHTE AUF DAS SPIEL: KEIN BASERAPE - KEIN TEAMKILL (BAN GRUND)"
STR_DGX_INFO8,"BUY WEAPONS AND VEHICLES IN YOUR BASE - USE SPAWNTRUCK TO TELEPORT TO THE FRONTIER (FLAG IN BASE)","KAUFE WAFFEN UND FAHRZEUGE IN DEINER BASIS - BENUTZE DEN SPAWNTRUCK UM IN DIE FRONT TELEPORTIERT ZU WERDEN (FLAGGE IN DER BASIS)"
STR_DGX_BLUFOR,"BLUFOR BASE","BLUFOR BASIS"
STR_DGX_IND,"INDEPENDENT BASE","REBELLEN BASIS"
STR_DGX_OPFOR,"OPFOR BASE","OPFOR BASIS"
STR_DGX_INFO0,"WELCOME TO THE ALTIS ARMY KING OF THE HILL SERVER","WILKOMMEN AUF DEN ALTIS ARMY KINF OF THE HILL SERVER"
